2026/09/24 18:01:16.597, 210, 405, 35, 27.08, 0
2026/09/24 18:01:17.627, 2520, 10501, 37, 40.98, 3
2026/09/24 18:01:33.082, 210, 405, 36, 27.22, 0
2026/09/24 18:01:34.121, 2520, 10501, 37, 57.19, 4
2026/09/24 18:01:49.596, 210, 405, 36, 27.09, 0
2026/09/24 18:01:50.674, 2520, 10501, 38, 56.22, 8
2026/09/24 18:02:04.766, 210, 405, 36, 27.15, 0
2026/09/24 18:02:05.844, 2520, 10501, 38, 43.19, 0
2026/09/24 18:02:24.442, 210, 405, 36, 27.12, 0
2026/09/24 18:02:25.498, 2520, 10251, 38, 63.21, 3
2026/09/24 18:02:26.530, 2520, 10251, 39, 102.63, 100
2026/09/24 18:02:27.555, 2655, 10251, 39, 100.81, 0
2026/09/24 18:02:28.581, 2520, 10251, 41, 88.71, 1
2026/09/24 18:02:29.606, 2520, 10251, 39, 75.73, 27
2026/09/24 18:02:30.630, 2520, 10251, 41, 87.10, 0
2026/09/24 18:02:31.656, 2655, 10251, 44, 153.42, 100
2026/09/24 18:02:32.681, 2655, 10251, 41, 136.13, 100
2026/09/24 18:02:33.705, 2640, 10501, 43, 182.20, 100
2026/09/24 18:02:34.736, 2640, 10251, 43, 135.23, 0
2026/09/24 18:02:35.760, 2640, 10251, 45, 133.12, 0
2026/09/24 18:02:36.785, 2655, 10501, 42, 134.27, 0
2026/09/24 18:02:37.811, 2655, 10251, 42, 103.73, 0
2026/09/24 18:02:38.835, 2655, 10251, 41, 98.63, 22
2026/09/24 18:02:39.860, 2655, 10251, 41, 75.12, 0
2026/09/24 18:02:40.885, 2655, 10251, 42, 162.68, 100
2026/09/24 18:02:41.909, 2655, 10251, 41, 76.89, 0
2026/09/24 18:02:42.934, 2655, 10251, 47, 136.86, 100
2026/09/24 18:02:43.962, 2655, 10251, 48, 196.91, 100
2026/09/24 18:02:44.987, 2655, 10251, 48, 197.43, 100
2026/09/24 18:02:46.012, 2655, 10251, 49, 197.77, 100
2026/09/24 18:02:47.037, 2655, 10251, 49, 196.06, 100
2026/09/24 18:02:48.062, 2640, 10251, 49, 195.73, 100
2026/09/24 18:02:49.087, 2640, 10251, 49, 195.19, 100
2026/09/24 18:02:50.113, 2640, 10251, 50, 197.62, 100
2026/09/24 18:02:51.138, 2640, 10251, 50, 195.85, 100
2026/09/24 18:02:52.195, 2640, 10251, 50, 198.09, 100
2026/09/24 18:02:53.221, 2640, 10251, 44, 103.13, 0
2026/09/24 18:02:54.245, 2640, 10251, 54, 108.40, 100
2026/09/24 18:02:55.271, 2625, 10251, 60, 379.42, 100
2026/09/24 18:02:56.296, 2640, 10251, 51, 363.88, 71
2026/09/24 18:02:57.321, 2640, 10251, 46, 92.22, 0
2026/09/24 18:02:58.345, 2640, 10251, 56, 138.79, 100
2026/09/24 18:02:59.371, 2640, 10251, 58, 322.68, 100
2026/09/24 18:03:00.400, 2640, 10251, 58, 317.73, 100
2026/09/24 18:03:01.429, 2640, 10251, 48, 230.48, 3
2026/09/24 18:03:02.454, 2640, 10251, 47, 82.08, 0
2026/09/24 18:03:03.479, 2640, 10251, 58, 290.68, 100
2026/09/24 18:03:04.505, 2625, 10251, 58, 285.79, 100
2026/09/24 18:03:05.531, 2640, 10251, 49, 210.63, 100
2026/09/24 18:03:06.557, 2640, 10251, 47, 84.82, 0
2026/09/24 18:03:07.584, 2460, 10251, 61, 303.71, 100
2026/09/24 18:03:08.613, 2640, 10501, 50, 307.71, 100
2026/09/24 18:03:09.637, 2640, 10251, 48, 88.53, 0
2026/09/24 18:03:10.665, 2625, 10251, 60, 233.02, 100
2026/09/24 18:03:11.695, 2640, 10251, 49, 221.95, 91
2026/09/24 18:03:12.721, 2640, 10251, 48, 87.97, 0
2026/09/24 18:03:13.747, 2640, 10251, 51, 237.70, 100
2026/09/24 18:03:14.772, 2640, 10251, 48, 100.40, 0
