src_file,stamp,gpu,sm_count,clock_ghz,round,shape,M,N,K,kernel,iters,ms,gflops,pct_peak,ai,roofline_gflops,roofline_pct,load_per_fma,dist,bcast,ldg,req_per_fma,beat,cyc_per_load,model_pred,model_note,regs,barriers,smem_bytes,spill_bytes,occ_pct,blocks_per_sm,threads_per_block,block_x,block_y,grid_x,grid_y,footprint_mb,verified,ms_spread_pct,rounds
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,4096,4096,4096,k1,5,211.911,648.6,0.79,0.25,252.0,258.0,2.0,0.0,0.0,2.0,33.0,31.76,15.88,3.78,,40,0,0,0,66.7,1,1024,32,32,128,128,201.3,1,0.4,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,4096,4096,4096,k2,11,25.815,5324.0,6.45,0.25,252.0,2113.5,2.0,0.0,0.0,2.0,2.0,3.88,1.94,3.78,,40,0,0,0,66.7,1,1024,32,32,128,128,201.3,1,0.49,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,4096,4096,4096,k3,11,22.225,6184.0,7.49,7.969,8033.0,77.0,2.062,1.0,1.0,0.062,,3.34,1.62,3.26,,38,1,8192,0,66.7,1,1024,32,32,128,128,201.3,1,0.22,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,4096,4096,4096,k3c,11,20.542,6690.6,8.1,12.72,12823.0,52.2,2.039,1.0,1.0,0.039,,3.09,1.51,3.21,,38,1,8192,0,66.7,1,1024,32,32,32,128,201.3,1,0.28,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,4096,4096,4096,k4,11,6.617,20770.6,25.37,7.969,8033.0,260.8,1.188,0.125,1.0,0.062,,0.99,0.83,0.97,,54,1,8192,0,75.0,9,128,32,4,128,128,201.3,1,0.98,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,4096,4096,4096,k5,11,3.983,34506.4,42.02,12.72,12823.0,270.6,0.414,0.125,0.25,0.039,,0.59,1.44,0.53,,72,1,20480,0,33.3,4,128,32,4,32,128,201.3,1,1.38,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,4096,4096,4096,k6,11,3.358,40928.8,50.08,12.72,12823.0,322.5,0.104,0.031,0.062,0.01,,0.5,4.82,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,111,1,20480,0,33.3,4,128,32,4,32,128,201.3,1,1.73,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,8192,8192,8192,k0,11,18.693,58819.4,71.35,,,,,,,,,,,,,,,,,,,,,,,,805.3,1,0.2,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,8192,8192,8192,k1,3,1695.847,648.4,0.78,0.25,252.0,257.2,2.0,0.0,0.0,2.0,33.0,31.85,15.93,3.78,,40,0,0,0,66.7,1,1024,32,32,256,256,805.3,1,0.22,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,8192,8192,8192,k2,5,240.576,4570.3,5.53,0.25,252.0,1813.6,2.0,0.0,0.0,2.0,2.0,4.52,2.26,3.78,,40,0,0,0,66.7,1,1024,32,32,256,256,805.3,1,0.17,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,8192,8192,8192,k3,11,187.138,5875.4,7.09,7.984,8049.0,72.7,2.062,1.0,1.0,0.062,,3.53,1.71,3.26,,38,1,8192,0,66.7,1,1024,32,32,256,256,805.3,1,0.45,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,8192,8192,8192,k3c,11,181.967,6042.4,7.31,12.76,12863.0,46.9,2.039,1.0,1.0,0.039,,3.42,1.68,3.21,,38,1,8192,0,66.7,1,1024,32,32,64,256,805.3,1,0.61,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,8192,8192,8192,k4,11,76.294,14411.5,17.45,7.984,8049.0,179.0,1.188,0.125,1.0,0.062,,1.43,1.21,0.97,,54,1,8192,0,75.0,9,128,32,4,256,256,805.3,1,0.0,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,8192,8192,8192,k5,11,53.541,20535.9,22.8,12.76,12863.0,146.4,0.414,0.125,0.25,0.039,,1.1,2.65,0.53,,72,1,20480,0,33.3,4,128,32,4,64,256,805.3,1,28.5,3
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,med(3),square,8192,8192,8192,k6,11,31.011,35455.5,43.06,12.76,12863.0,276.4,0.104,0.031,0.062,0.01,,0.58,5.61,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,111,1,20480,0,33.3,4,128,32,4,64,256,805.3,1,0.68,3
