src_file,stamp,gpu,sm_count,clock_ghz,round,shape,M,N,K,kernel,iters,ms,gflops,pct_peak,ai,roofline_gflops,roofline_pct,load_per_fma,dist,bcast,ldg,req_per_fma,beat,cyc_per_load,model_pred,model_note,regs,barriers,smem_bytes,spill_bytes,occ_pct,blocks_per_sm,threads_per_block,block_x,block_y,grid_x,grid_y,footprint_mb,verified
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,4096,4096,4096,k3c,11,20.542,6690.7,8.1,12.72,12823.0,52.2,2.039,1.0,1.0,0.039,,3.09,1.51,3.21,,38,1,8192,0,66.7,1,1024,32,32,32,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,4096,4096,4096,k4,11,6.561,20947.6,25.37,7.969,8033.0,260.8,1.188,0.125,1.0,0.062,,0.99,0.83,0.97,,54,1,8192,0,75.0,9,128,32,4,128,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,4096,4096,4096,k5,11,3.961,34697.0,42.02,12.72,12823.0,270.6,0.414,0.125,0.25,0.039,,0.59,1.44,0.53,,72,1,20480,0,33.3,4,128,32,4,32,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,4096,4096,4096,k6,11,3.324,41351.4,50.08,12.72,12823.0,322.5,0.104,0.031,0.062,0.01,,0.5,4.82,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,111,1,20480,0,33.3,4,128,32,4,32,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,8192,8192,8192,k0,11,18.661,58919.4,71.35,,,,,,,,,,,,,,,,,,,,,,,,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,8192,8192,8192,k1,3,1696.457,648.1,0.78,0.25,252.0,257.2,2.0,0.0,0.0,2.0,33.0,31.85,15.93,3.78,,40,0,0,0,66.7,1,1024,32,32,256,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,8192,8192,8192,k2,5,240.576,4570.3,5.53,0.25,252.0,1813.6,2.0,0.0,0.0,2.0,2.0,4.52,2.26,3.78,,40,0,0,0,66.7,1,1024,32,32,256,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,8192,8192,8192,k3,11,187.815,5854.2,7.09,7.984,8049.0,72.7,2.062,1.0,1.0,0.062,,3.53,1.71,3.26,,38,1,8192,0,66.7,1,1024,32,32,256,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,8192,8192,8192,k3c,11,182.261,6032.6,7.31,12.76,12863.0,46.9,2.039,1.0,1.0,0.039,,3.42,1.68,3.21,,38,1,8192,0,66.7,1,1024,32,32,64,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,8192,8192,8192,k4,11,76.294,14411.5,17.45,7.984,8049.0,179.0,1.188,0.125,1.0,0.062,,1.43,1.21,0.97,,54,1,8192,0,75.0,9,128,32,4,256,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,8192,8192,8192,k5,11,58.399,18827.4,22.8,12.76,12863.0,146.4,0.414,0.125,0.25,0.039,,1.1,2.65,0.53,,72,1,20480,0,33.3,4,128,32,4,64,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,1,square,8192,8192,8192,k6,11,30.925,35553.9,43.06,12.76,12863.0,276.4,0.104,0.031,0.062,0.01,,0.58,5.61,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,111,1,20480,0,33.3,4,128,32,4,64,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,1024,1024,1024,k1,11,3.33,644.8,0.78,0.25,252.0,256.0,2.0,0.0,0.0,2.0,33.0,32.01,16.01,3.78,,40,0,0,0,66.7,1,1024,32,32,32,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,1024,1024,1024,k2,11,0.416,5160.2,6.25,0.25,252.0,2048.5,2.0,0.0,0.0,2.0,2.0,4.0,2.0,3.78,,40,0,0,0,66.7,1,1024,32,32,32,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,1024,1024,1024,k3,11,0.333,6457.7,7.82,7.877,7941.0,81.3,2.062,1.0,1.0,0.062,,3.2,1.55,3.26,,38,1,8192,0,66.7,1,1024,32,32,32,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,1024,1024,1024,k3c,11,0.324,6627.4,8.03,12.488,12589.0,52.6,2.039,1.0,1.0,0.039,,3.11,1.53,3.21,,38,1,8192,0,66.7,1,1024,32,32,8,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,1024,1024,1024,k4,11,0.125,17203.0,20.83,7.877,7941.0,216.6,1.188,0.125,1.0,0.062,,1.2,1.01,0.97,,54,1,8192,0,75.0,9,128,32,4,32,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,1024,1024,1024,k5,11,0.092,23415.5,28.36,12.488,12589.0,186.0,0.414,0.125,0.25,0.039,,0.88,2.13,0.53,,72,1,20480,0,33.3,4,128,32,4,8,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,1024,1024,1024,k6,11,0.078,27673.8,33.51,12.488,12589.0,219.8,0.104,0.031,0.062,0.01,,0.75,7.21,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,111,1,20480,0,33.3,4,128,32,4,8,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,1024,1024,1024,k0,11,0.054,40112.9,48.58,,,,,,,,,,,,,,,,,,,,,,,,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,2048,2048,2048,k1,11,26.553,647.0,0.78,0.25,252.0,256.8,2.0,0.0,0.0,2.0,33.0,31.91,15.95,3.78,,40,0,0,0,66.7,1,1024,32,32,64,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,2048,2048,2048,k2,11,3.226,5325.5,6.45,0.25,252.0,2113.6,2.0,0.0,0.0,2.0,2.0,3.88,1.94,3.78,,40,0,0,0,66.7,1,1024,32,32,64,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,2048,2048,2048,k3,11,2.566,6694.3,8.11,7.938,8002.0,83.7,2.062,1.0,1.0,0.062,,3.08,1.5,3.26,,38,1,8192,0,66.7,1,1024,32,32,64,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,2048,2048,2048,k3c,11,2.509,6848.5,8.29,12.642,12744.0,53.7,2.039,1.0,1.0,0.039,,3.01,1.48,3.21,,38,1,8192,0,66.7,1,1024,32,32,16,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,2048,2048,2048,k4,11,0.842,20406.4,24.71,7.938,8002.0,255.0,1.188,0.125,1.0,0.062,,1.01,0.85,0.97,,54,1,8192,0,75.0,9,128,32,4,64,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,2048,2048,2048,k5,11,0.53,32404.1,39.24,12.642,12744.0,254.3,0.414,0.125,0.25,0.039,,0.64,1.54,0.53,,72,1,20480,0,33.3,4,128,32,4,16,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,2048,2048,2048,k6,11,0.439,39164.8,47.43,12.642,12744.0,307.3,0.104,0.031,0.062,0.01,,0.53,5.09,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,111,1,20480,0,33.3,4,128,32,4,16,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,2048,2048,2048,k0,11,0.324,52998.1,64.18,,,,,,,,,,,,,,,,,,,,,,,,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,4096,4096,4096,k1,5,212.261,647.5,0.78,0.25,252.0,257.0,2.0,0.0,0.0,2.0,33.0,31.88,15.94,3.78,,40,0,0,0,66.7,1,1024,32,32,128,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,4096,4096,4096,k2,11,25.815,5324.0,6.45,0.25,252.0,2112.7,2.0,0.0,0.0,2.0,2.0,3.88,1.94,3.78,,40,0,0,0,66.7,1,1024,32,32,128,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,4096,4096,4096,k3,11,22.275,6170.2,7.47,7.969,8033.0,76.8,2.062,1.0,1.0,0.062,,3.35,1.62,3.26,,38,1,8192,0,66.7,1,1024,32,32,128,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,4096,4096,4096,k3c,11,20.576,6679.5,8.09,12.72,12823.0,52.1,2.039,1.0,1.0,0.039,,3.09,1.52,3.21,,38,1,8192,0,66.7,1,1024,32,32,32,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,4096,4096,4096,k4,11,6.617,20771.8,25.15,7.969,8033.0,258.6,1.188,0.125,1.0,0.062,,0.99,0.84,0.97,,54,1,8192,0,75.0,9,128,32,4,128,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,4096,4096,4096,k5,11,3.983,34506.0,41.79,12.72,12823.0,269.1,0.414,0.125,0.25,0.039,,0.6,1.44,0.53,,72,1,20480,0,33.3,4,128,32,4,32,128,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,4096,4096,4096,k6,11,3.358,40931.7,49.57,12.72,12823.0,319.2,0.104,0.031,0.062,0.01,,0.5,4.87,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,111,1,20480,0,33.3,4,128,32,4,32,128,201.3,1
